FID	X	Y	ID	Sample_num	Elevation	Longitude	Latitude	Rock_Type	Soil_Colou	Other_deta	pH	LOI	Li	Be	V	Cr	Co	Ni	Cu	Ga	As_	Se	Rb	Sr	Y_1	Zr	Nb	Mo	Ag	Cd	Sn	Sb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Tb	Gd	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	W	Tl	Bi	Th	U	Na	Mg	Al	P	K	Ca	Ti	Mn	Fe	Zn	Pb	Elevation	slope	Apspect
30	9.71913	5.97674	31	31	896	9.71913	5.97674	Granitic	Dark brown	"Farm land, slope"	4.35	13.05	16.3	0.93	92	59	9.94	26.3	26.9	30.6	1.96	0.89	152	101	7.81	150	24	1.97	0.07	0.097	4.8	0.19	7.68	768	36	116	7.04	23.8	4.14	0.829	0.339	2.69	1.87	0.303	0.92	0.124	0.87	0.127	4.4	1.4	0.94	0.67	0.21	27.1	3.59	1597	5188	133053	877	31174	1868	6825	742	45916	94	46	936	32.65382004	220.3645325
31	9.76243	5.98338	32	32	1120	9.76243	5.98338	Granitic	Dark	"Farmland, sample collected 42m from central point"	4.43	17.06	25.2	1.17	89	43	10.4	20	28	35	1.66	0.83	117	83	9.65	88	17.1	1.54	0.04	0.076	7.4	0.14	5.98	667	53.5	166	11.4	40.6	7.25	1.3	0.5	4.21	2.62	0.419	1.12	0.154	0.99	0.142	2.61	0.99	0.91	0.61	0.4	26.6	2.82	1080	5837	137845	1523	23789	2422	4981	533	47415	99	46	1095	23.15849495	34.14358521
32	9.80167	5.98371	33	33	1374	9.80167	5.98371	Granitic	Reddish brown	"Steep slope, Forest vegetation, found close to road cut"	3.81	11.59	17.4	1.56	118	56	11.1	35.9	26.8	44.3	3.71	1.08	98	117	19.9	98	27.7	2.16	0.04	0.029	7.9	0.48	4.21	617	149	368	32	107	17.7	2.7	1.38	10.4	7.23	1.11	2.97	0.381	2.5	0.341	2.9	1.89	2.01	0.51	0.35	30.2	4.95	707	2628	160887	938	21766	215	5695	303	59513	101	47	1363	26.69164848	320.2538147
33	9.84039	5.98376	34	34	1234	9.84039	5.98376	Granitic	Dark	"Steep slope, farmland (beans and maize)"	4.35	15.38	38.7	1.98	123	42	16	26.5	34	37.6	2.03	1.03	138	191	23.6	183	25.8	2.9	0.07	0.063	7.1	0.3	10.3	1029	145	383	31.1	110	18.7	3.55	1.25	10.4	6.24	0.998	2.71	0.352	2.36	0.339	5.19	2.14	6.35	0.71	0.57	56.4	9.61	1153	6112	146227	1264	24123	1022	7135	553	51420	103	47	1236	28.45928764	138.6522217
34	9.87911	5.98371	35	35	1650	9.87911	5.98371	Granitic	Dark-brown	"hill Slope, farmland (beans, corn, cocoyams)"	4.22	14.48	28.6	1.28	171	87	20.9	47.4	59	31.8	3.61	1.26	114	98	17.3	135	32.1	3.82	0.11	0.066	5.3	0.36	10.9	685	55.9	148	12	43.6	8.03	1.66	0.765	5.53	4.22	0.721	2.04	0.286	1.89	0.25	4.02	2.35	2.21	0.68	0.49	28.5	6.25	1012	5295	130390	1465	17998	1520	9368	1747	67306	111	37	1661	15.30015564	329.6208801
35	9.91825	5.9837	36	36	1611	9.91825	5.9837	Granitic	Dark-brown	Slope of a hill; close to the summit	4	9.9	20.9	2.59	94	41	10.8	21.3	21.3	43.4	1.43	0.9	169	164	20.2	171	32.3	3.05	0.06	0.05	8.6	0.17	8.26	873	106	278	23.6	87.1	15.4	2.73	1.07	8.7	5.52	0.944	2.54	0.364	2.55	0.363	5.01	2.76	2.26	0.97	0.51	64.8	16.5	1049	2867	158939	778	29344	357	7316	182	45828	68	71	1620	12.97848701	222.1375885
36	9.9569	5.98358	37	37	1361	9.9569	5.98358	Granitic	Dark	"slope of a hill, plantation (Plantain)"	4.06	16.61	22.2	1.15	86	44	13.8	28.1	19.8	35.5	2.08	1.05	141	54	18.4	150	30.1	3.86	0.05	0.072	5.7	0.17	7.81	407	57.1	185	12.6	46.6	9.03	1.5	0.818	5.9	4.68	0.832	2.32	0.335	2.4	0.333	4.86	2.56	1.07	0.74	0.28	67.5	10.3	945	3021	143052	994	23245	847	5141	676	46400	63	52	1366	15.82180119	285.8323975
37	9.99534	5.98405	38	38	1252	9.99534	5.98405	Granitic	Dark	"Farmland (cassava, cocoyams, corn, beans)"	4.05	8.41	41.7	3.86	115	55	16.9	27.9	42.8	38.8	1.15	0.57	215	131	40.1	140	37.2	2.29	0.06	0.081	7.8	0.17	13.8	972	94.1	222	21.5	80.8	14.9	2.81	1.49	10.9	8.72	1.57	4.4	0.632	4.29	0.607	4.67	3.18	3.2	1.23	0.5	64.6	9.78	2061	5990	154378	994	36429	1805	7134	530	50672	96	54	1253	1.188638091	168.6900635
38	10.07325	5.98373	39	40	1248	10.07325	5.98373	Granitic	Dark-brown	"Grazing land, gentle slope, topsoil is sandy"	3.91	7.76	39.8	2.21	26	19	5.26	10	20	39	0.79	0.41	294	64	15.8	146	33.6	1.8	0.04	0.042	11.2	0.06	10.9	456	57.9	157	13.9	53	10.6	1.24	0.858	6.62	4.23	0.667	1.69	0.242	1.65	0.23	5.48	3.64	1.05	1.66	0.62	46.7	9.19	1752	1202	144511	358	53495	382	2349	147	23357	51	77	1239	11.65579796	112.0112839
39	10.1121	5.98372	40	41	1223	10.1121	5.98372	laterite	Dark-brown	"Gentle slope, farmland closed to settlement (palms, plantains, cocoyams)"	4.73	12.18	26.3	1.48	75	80	7.3	35.8	25.8	36.9	1.91	0.64	90	68	13.4	140	29.3	2.12	0.05	0.082	9.8	0.15	6.52	333	73.1	180	14.7	52.3	9.62	1.48	0.777	6.11	4	0.607	1.57	0.221	1.43	0.189	4.34	2.49	0.99	0.54	0.89	27.4	8.02	645	1509	153436	932	15012	2074	5025	226	42515	71	55	1226	10.24276352	82.23483276
40	10.1897	5.98372	42	43	1249	10.1897	5.98372	granitic	Dark-brown	 	4.58	19.73	16.2	1.14	206	155	20.1	117	53.6	38.8	4.31	1.55	30	31	31.3	535	134	3.96	0.14	0.124	6.9	0.38	3.47	174	81.3	328	18.7	70.5	13.6	3.09	1.36	9.61	7.74	1.39	3.9	0.532	3.46	0.508	13.1	8.02	2.43	0.29	0.25	25.6	5.3	415	1602	142123	1739	3085	1068	17526	1212	92051	83	32	1246	5.391771793	277.4313965
41	10.22863	5.9839	43	44	1311	10.22863	5.9839	granitic	Dark-brown	"Steep slope, forest vegetation"	4.32	16.35	44.1	2.09	122	104	26.9	60.5	30.4	32.9	0.81	0.56	108	162	47.7	186	32.4	2.04	0.08	0.066	5.1	0.12	5.56	1090	148	235	33.2	128	22.1	4.05	1.95	15.9	10.5	1.8	4.62	0.596	3.67	0.51	4.77	2.01	14.5	0.68	0.43	21.8	4.65	1841	7928	134773	1162	18135	2602	9595	582	71647	85	36	1299	11.07516003	290.6954346
42	10.2628	5.98726	44	45	1554	10.2628	5.98726	granitic	Dark	"Hill, Grassland"	5.51	9.93	21.3	2.8	35	27	6.65	17.5	36.8	41.8	2.31	0.75	74	61	96	1173	190	1.73	0.24	0.607	12.1	0.22	2.04	229	143	465	27.3	102	19.8	1.19	3.16	19.3	20.1	3.76	10.3	1.46	9.45	1.253	27.7	11.8	1.56	0.58	0.18	34.2	4.65	4258	2147	101831	1749	8416	4437	3935	1818	47091	221	54	1561	8.497140884	299.3577576
43	9.72392	6.02162	45	46	1796	9.72392	6.02162	Granitic	Dark-brown	"Hill slope, grazing land"	4.31	20.74	19.3	1.38	138	72	6.04	27.4	28.9	45.5	4.11	1.35	83	105	10.7	312	47.9	5.47	0.07	0.083	10.5	0.3	5.25	447	97.8	240	16.8	52.1	7.81	1.46	0.558	4.33	2.9	0.479	1.33	0.194	1.28	0.194	8.63	3.76	11.6	0.4	0.41	63.3	11.3	619	2385	164324	2117	11943	1252	9899	481	61198	72	60	1039	6.057465076	122.4711914
44	9.7627	6.02142	46	47	1746	9.7627	6.02142	Granitic	Dark-grey	"Slope of a hill, grazing land"	3.82	15.85	21.7	1.04	118	43	7.07	25	30	44.4	2.29	1.26	84	165	15.6	286	35.5	4.18	0.06	0.049	10.3	0.3	6.06	593	175	387	35.2	121	18.6	3.4	1.15	9.89	5.52	0.762	1.91	0.235	1.53	0.204	7.84	3.24	1.87	0.49	0.41	62.1	10.5	602	2975	164482	1405	12832	521	8525	220	50642	75	64	791	23.13759041	160.5296936
45	9.80156	6.02161	47	48	1662	9.80156	6.02161	Granitic	Dark-brown	"gentle slope, forest vegetation with thin undergrowth"	4.01	18.96	27.2	1.65	149	45	13.1	27.7	51.3	37.8	2.41	1.09	83	104	14.7	161	27	5.9	0.04	0.046	6.3	0.34	7.69	456	88.4	236	17.6	61	10.6	2	0.782	6.14	4.09	0.673	1.8	0.255	1.69	0.241	4.85	2.16	12.6	0.5	1.04	52.9	12.6	643	3826	160129	1342	14078	436	7337	391	61225	69	58	925	3.754250765	299.744873
46	9.84021	6.0216	48	49	1660	9.84021	6.0216	Granitic	Dark	"Slope of a hill, Forest/grazing land"	4.04	20.65	12.4	1.36	198	66	8.47	28.5	26.1	38.7	3.73	1.5	48	68	11.6	174	34.2	6.88	0.04	0.047	6.7	0.39	4.27	259	76.3	211	14.9	48.7	7.96	1.6	0.644	4.89	3.51	0.58	1.61	0.218	1.5	0.207	5.14	2.67	5.97	0.32	1.22	49.8	10.5	420	1985	163050	1433	7556	509	9047	234	80184	47	56	1244	25.66295242	358.0585022
47	9.88	6.02196	49	50	1774	9.88	6.02196	Granitic	Dark-grey	"slope of a hill, Farmland (yams)"	3.81	19.11	20.7	2.15	139	61	4.88	22	19.4	53.9	3.27	1.69	59	98	12.1	241	48.8	6.08	0.06	0.05	12.1	0.29	4.79	251	115	216	20.1	62.4	9.2	1.68	0.643	5.06	3.36	0.551	1.53	0.205	1.43	0.213	6.71	4.07	2.36	0.4	0.91	66.4	14.1	444	1853	172399	1237	7121	443	9630	234	61978	42	64	1776	9.347034454	261.4692383
