FID	X	Y	ID	Sample_num	Elevation	Longitude	Latitude	Rock_Type	Soil_Colou	Other_deta	pH	LOI	Li	Be	V	Cr	Co	Ni	Cu	Ga	As_	Se	Rb	Sr	Y_1	Zr	Nb	Mo	Ag	Cd	Sn	Sb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Tb	Gd	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	W	Tl	Bi	Th	U	Na	Mg	Al	P	K	Ca	Ti	Mn	Fe	Zn	Pb	Elevation	slope	Apspect
150	10.07395	6.17384	156	0	594	10.07395	6.17384	Granitic	Dark	"Farmland (Cocoyams, coffee, palms), close to settlement. Top of a hill"	4.2	8.45	23.2	3.83	53	31	10	15.3	18.5	27.8	0.48	0.41	177	79	18.5	44	13.8	1.1	0.07	0.041	3.2	0.08	7.16	780	72.2	153	15.9	59.8	9.77	1.95	0.796	6.51	4.07	0.686	1.72	0.242	1.41	0.199	1.36	0.87	0.54	0.91	0.15	38.8	2.95	6240	5250	116121	627	31408	3012	3945	423	36665	87	30	592	9.259612083	182.8624115
151	10.07544	6.17269	157	0	584	10.07544	6.17269	No observable outcrop	reddish	"Close to the road and settlement, farmland (palms, plantains), sample is gravelly"	5.54	8.33	18.9	2.8	92	50	16	21.1	22.8	25.7	1.37	0.39	170	206	18.4	118	40.9	2.06	0.05	0.072	5.7	0.27	4.77	1145	52.3	129	11.5	42.5	7.2	1.36	0.685	5	3.94	0.674	1.83	0.268	1.79	0.253	3.42	3.21	0.93	0.82	0.19	28.2	4.52	7111	5308	111701	1158	37898	5790	7244	533	48369	90	41	587	3.638349295	50.19442749
152	10.07312	6.16993	158	0	609	10.07312	6.16993	No observable outcrop	Dark	"Farmland (palms, potatoes), close to settlement. No outcrops"	5.03	10.32	29.4	3.4	101	71	17.9	42	32.9	25.3	0.46	0.35	173	299	24.9	80	44.1	1.36	0.04	0.039	4.7	0.12	7.06	1917	90.3	191	21.3	80.5	13.6	2.52	1.06	8.44	5.67	0.923	2.35	0.331	2.15	0.308	2.55	3.18	0.88	0.99	0.15	25.2	3.72	1434	7388	104467	996	29970	3078	6397	453	47860	83	34	612	3.311182499	309.2893982
153	10.06947	6.17257	159	0	656	10.06947	6.17257	No observable outcrop	Dark	"Steep slope, Farmland (palms, cassava), grassfield"	5.74	11.04	21	5.65	75	34	12.7	17.6	31	29.8	0.45	0.34	210	160	35.4	119	88.6	2.01	0.05	0.078	8.6	1.85	5.69	771	95	213	20.2	75	13.4	1.69	1.36	9.59	7.63	1.3	3.49	0.459	2.85	0.378	3.57	5.49	1.03	0.96	0.16	27.7	3.05	3156	7481	108044	639	31264	6294	5308	684	42692	129	39	658	27.4601078	220.5526123
154	10.0706	6.17647	160	0	606	10.0706	6.17647	Granitic	Dark-brown	"Slope, farmland (palms, cocoyams, banana), sample collected 49m away due to inaccessibility"	5.98	7.55	26.2	6.72	108	45	21	26.7	27.9	29.7	0.87	0.29	195	242	34.6	52	22.2	1.22	0.05	0.065	5.3	0.12	7.86	1147	88.8	174	19.9	75.4	13.5	2.32	1.26	9.3	7.19	1.25	3.4	0.477	3.07	0.431	1.58	1.29	0.72	0.95	0.19	26.6	2.89	10760	11819	114998	843	33188	9722	6302	1001	54635	112	29	628	23.57584953	75.96375275
155	10.23039	6.21038	162	0	769	10.23039	6.21038	granitic	SANDY REDDISH BROWN SOIL	 	4.41	8.06	8.7	1.98	64	29	7.23	13.6	19.1	29.2	0.55	0.34	206	259	19.6	136	18.4	1.18	0.05	0.042	4	0.19	3.21	1829	134	226	25.2	86.4	12.1	2.45	0.781	6.63	4.1	0.679	1.76	0.264	1.65	0.239	4.04	1.38	0.6	0.97	0.27	42.3	5.56	2263	3374	135748	629	56719	1599	5445	210	35822	79	63	767	5.815930843	357.7093811
156	10.2271	6.20891	163	0	755	10.2271	6.20891	granitic	REDDISH BROWN MEDIUM TO FINE SANDY SOIL WITH GRANITIC FLOATS	 	4.06	6.69	13.8	2.26	114	62	16.9	40.3	41	30.9	0.75	0.57	144	177	37.4	164	27.8	4.42	0.07	0.038	6.4	0.11	4.36	1299	105	229	22.9	83.9	14.9	2.54	1.37	9.77	7.99	1.33	3.73	0.55	3.45	0.495	4.65	2.31	1.35	0.9	0.72	39.4	6.33	1197	4060	135151	542	36862	460	9351	381	62785	77	39	746	9.428819656	168.6900635
157	10.22456	6.21261	164	0	732	10.22456	6.21261	granitic	"200m FROM RIVER, VERY GENTLE SLOPE, REDDISH BROWN AND MILDLY SANDY SOIL"	 	4.07	11.35	19	3.01	150	76	17	42.2	25.2	32.5	1.62	0.77	91	98	30.1	163	35.8	2.72	0.07	0.057	6.2	0.16	4.68	637	87.9	241	19.6	72	12.4	2.5	1.16	8.35	6.7	1.14	3.05	0.428	2.84	0.397	4.42	2.82	1.1	0.66	0.35	37.3	5.39	808	3479	132609	801	18911	898	11189	507	71902	73	35	716	6.199685574	257.0053711
158	10.22696	6.21643	165	0	756	10.22696	6.21643	granitic	REDDISH BROWN SOIL	 	4.33	9.79	10.4	1.49	91	41	10.7	22.5	25.5	29.8	1.05	0.56	156	140	21.9	131	20.5	1.58	0.05	0.042	6.2	0.1	3.54	829	73.7	155	15	52.4	8.71	1.42	0.83	5.86	4.78	0.84	2.3	0.343	2.2	0.306	4.03	1.36	0.72	0.8	0.27	42.7	5.5	1164	2577	125108	646	34116	1067	5561	335	42590	64	39	746	13.73390484	240.0183563
159	9.88105	6.2466	166	0	1062	9.88105	6.2466	granitic	"CLOSE TO RIVER COURSE ON A VERY STEEP SLOPE, DARK GREY, MEDIUM TO FINE GRAIN SOIL BESIDE GRANITIC OUTCROP"	 	5.04	13.16	35.7	4.24	41	21	7.42	12.5	19.4	27.9	1.24	0.47	175	110	20.8	57	17.1	1.23	0.06	0.083	3.1	0.18	5.88	771	51.4	126	11.2	42.4	7.91	1.22	0.802	5.44	4.54	0.805	2.23	0.341	2.25	0.302	2.05	1.36	0.75	0.79	0.33	24.3	4.54	6482	3221	135661	750	39048	4562	2885	982	26944	70	36	1061	27.5669384	218.0317383
160	9.88198	6.24467	167	0	1042	9.88198	6.24467	granitic	MEDIUM TO COARSE GRAIN REDDISH BROWN SOIL SURROUNDED BY GRANITIC OUTCROPS ON A SLOPE	 	4.01	8.91	24.1	2.78	65	49	9.71	26.9	36.4	31.8	1.82	0.79	150	48	20.2	70	18.5	2.79	0.04	0.022	2.8	0.27	5.95	449	59.3	154	14.5	54.2	9.92	1.61	0.856	6.34	4.66	0.831	2.23	0.368	2.57	0.351	2.21	1.38	0.73	0.81	0.31	22.6	4.19	1328	1875	156397	354	32268	532	3994	188	36619	49	33	1027	22.79958916	278.914917
161	9.88057	6.24134	168	0	939	9.88057	6.24134	granitic	"CLOSE TO RIVER COURSE ON A VERY STEEP SLOPE, DARK GREY, MEDIUM TO FINE GRAIN SOIL BESIDE GRANITIC OUTCROP"	 	5.04	8.09	24.2	2.43	127	32	11.6	19.2	43.9	32.5	7.06	0.42	77	89	21.7	61	38.7	3.13	0.03	0.031	3.8	1.12	6.92	450	43.5	95.7	10.2	37.9	6.84	1.61	0.733	5.06	4.46	0.821	2.32	0.357	2.48	0.358	2.31	4.32	5.24	0.49	1.34	23	11.3	729	1623	152346	919	15226	2734	9376	377	69489	68	32	931	9.529043198	230.9061432
162	9.87642	6.24318	169	0	912	9.87642	6.24318	granitic	MEDIUM TO FINE DARK GREY SOIL AROUND GRANITIC FLOODS	 	4.79	10.9	24.2	1.4	116	53	27	30.3	46.3	28.4	3.2	0.58	112	100	14.5	86	26.9	1.88	0.07	0.075	3.8	0.31	7.67	622	36.3	104	7.85	28	5.16	1.17	0.542	3.79	3.19	0.574	1.61	0.226	1.57	0.206	2.49	1.84	1.86	0.7	0.33	23.4	5.42	1193	2352	124769	934	22878	2905	8245	1160	54901	82	36	902	8.842311859	222.8789063
163	9.87612	6.24607	170	0	985	9.87612	6.24607	granitic	"MEDIUM TO FINE REDDISH BROWN SOIL, GRANITIC FLOODS"	 	5.16	11.39	80.5	3.46	111	33	21.1	26.5	28	33.8	6.49	0.58	111	140	29.1	65	20.9	1.97	0.08	0.036	3.5	0.6	6.98	779	77.7	170	17.9	64.8	11.4	2.67	1.07	7.89	6.11	1.07	2.85	0.409	2.7	0.386	1.96	1.33	1.3	0.62	0.38	24.1	6.62	1960	5152	158598	673	20191	4315	7589	989	60910	91	32	987	31.39654732	166.8907928
164	10.1064	6.28413	171	0	805	10.1064	6.28413	Granitic	Dark	"Stream banks, forest reserve"	4.14	10.1	27.3	2.39	75	38	11.6	19.2	23.7	24.9	1.02	0.5	184	117	13	106	18.8	1.18	0.1	0.12	4	0.12	6.53	890	34.4	88.9	6.71	24.5	4.4	0.816	0.487	3.28	2.95	0.522	1.46	0.219	1.49	0.195	3.25	1.37	0.94	0.92	0.19	28.2	4.31	3087	4638	107691	828	38710	2665	4646	730	34787	68	34	802	4.585434914	293.9624939
165	10.10739	6.2826	172	0	869	10.10739	6.2826	Granitic	Dark	"Steep slope, forest reserve."	4.06	8.75	26.4	3.94	89	37	12.7	14	22.4	26.4	0.8	0.45	172	136	21.6	87	17.8	0.84	0.08	0.088	4.2	0.1	6.15	951	43.3	123	8.83	33.1	6.11	1.07	0.705	4.64	4.3	0.79	2.16	0.323	2.13	0.286	2.56	0.991	2.4	1.01	0.31	23.7	2.76	5537	5103	111027	520	36245	4637	5259	828	40586	76	33	841	25.38019371	230.5722046
166	10.10513	6.27996	173	0	844	10.10513	6.27996	No observable outcrop	Dark	"Steep slope, abandoned farmland (Banana), no visible outcrop"	5.05	10.42	25.5	4.49	94	29	13.4	12.2	21	30.9	0.73	0.31	198	168	37.6	59	16.6	0.87	0.05	0.071	5.5	0.14	7.32	945	80.6	165	17.1	63.8	11.4	1.98	1.24	8.45	7.36	1.37	3.69	0.52	3.41	0.459	1.88	0.916	1.37	1.04	0.37	30	2.95	8522	7225	131694	929	33780	6513	4950	816	46399	99	38	842	17.89620209	228.0664825
167	10.10185	6.28309	174	0	962	10.10185	6.28309	Granitic	Dark	"Steep slope, Farmland"	5.32	16.09	47	4.02	86	54	20.9	31.2	32.1	31.1	0.99	0.47	218	201	24.9	99	20.2	1.28	0.11	0.128	4.5	0.14	13.1	1210	98.9	216	18.6	66.9	10.5	2	0.917	7	5.06	0.857	2.24	0.316	2.01	0.275	3.18	1.62	1.08	1.16	0.28	39.3	9.2	2052	6524	120729	1088	33271	6917	6052	1168	43862	96	45	964	35.91905594	171.5966339
168	10.10134	6.28753	175	0	1016	10.10134	6.28753	Granitic	Dark	"Steep slope, forest vegetation"	4.18	11.98	39.9	2.7	86	45	13.6	22.9	22.2	38.2	0.9	0.58	157	121	35.3	89	15.1	1.22	0.05	0.033	5.4	0.13	6.2	912	118	239	26.1	97.3	16.5	2.92	1.38	10.7	7.56	1.3	3.4	0.474	2.96	0.397	2.71	1.04	1	1	0.19	41.9	4.04	1494	6113	142595	591	30031	1316	4927	365	44364	79	44	1007	18.74687958	59.74356079
169	9.84095	5.94668	176	0	1477	9.84095	5.94668	Granitic	Dark-brown	"Hill slope, abandoned farmland"	0	20.55	36.1	2.03	132	73	12.9	39.3	33	45.2	4.76	0.93	89	79	17.3	243	33.4	5.9	0.08	0.078	7.7	0.4	8.98	320	103	327	22.3	71.9	11.5	2.18	0.845	6.52	4.65	0.758	2	0.289	1.96	0.265	7.04	2.57	1.84	0.58	0.5	55.1	13.1	463	4771	168247	1458	10199	693	7634	490	60635	92	74	1473	20.09188461	244.2900543
170	9.84218	5.94537	177	0	1469	9.84218	5.94537	Granitic	Dark	"Grassland closed to grazing field, sample collected at the summit of a hill"	4.76	20.22	32.6	1.57	134	74	10.3	38.8	41.6	43.3	4.69	0.91	94	96	12.8	246	32.9	6.87	0.08	0.075	7.2	0.38	8.5	445	93.9	276	18.1	56.5	9.05	1.66	0.652	4.93	3.53	0.562	1.59	0.238	1.64	0.262	7.06	2.56	2.24	0.52	0.53	49.5	10.9	603	4320	156637	1697	12575	1213	7846	521	61662	88	69	1460	21.49106216	251.9395294
171	9.8404	5.94226	178	0	1228	9.8404	5.94226	Granitic	Black	"slope of a hill, closed to the base"	4.61	28.74	49	2.04	100	51	12.4	25.9	20.7	29.2	2.6	1.53	95	129	23.5	103	18.1	3.21	0.09	0.204	5.1	0.2	9.29	545	54.3	156	13.6	51.5	10	1.78	0.946	6.84	5.4	0.924	2.72	0.355	2.43	0.313	2.94	1.34	1.4	0.59	0.38	28.1	8.31	4869	7780	102975	907	15350	4585	4939	491	45665	78	35	1227	28.13073158	233.0428925
172	9.83641	5.94276	179	0	1195	9.83641	5.94276	granitic	Dark-brown	"Hill slope, farmland (cassava, beans, maize, potatoes)"	4.37	16.2	64.9	1.86	143	63	16.1	34.4	16.8	49.8	4.3	1.58	169	149	25.2	174	33.3	3.33	0.09	0.076	9.3	0.43	16	949	104	377	24.7	88.3	16.2	3.04	1.21	9.36	6.62	1.11	3.11	0.462	3.08	0.439	5.25	2.84	2.55	1.03	0.6	56.3	12.3	1706	7462	181319	753	27514	1147	7762	482	63967	105	65	1193	30.48400879	264.4470215
173	10.19047	6.0222	180	0	0	10.19047	6.0222	Granites	Dark	"Grazing land, found on a slope"	4.87	17.04	28.4	1.79	137	95	14.3	47.2	34.3	38.2	2.2	0.91	64	51	15.5	202	35.9	3.44	0.05	0.042	7.7	0.19	4.83	296	91.3	254	19.5	65.7	11.2	2.09	0.845	6.57	4.58	0.733	1.89	0.271	1.81	0.257	5.48	2.54	1.36	0.4	0.38	35.1	6.28	437	2394	150200	1388	10393	1380	9564	423	74388	62	46	1271	6.565945625	351.8699036
174	10.19216	6.02151	181	0	0	10.19216	6.02151	Granites	Dark	"Grazing land, found on a slope"	4.26	14.81	72	3.5	118	96	19.7	52.9	36.5	36.6	1.55	0.81	137	60	24.2	145	32.1	2.1	0.06	0.046	8.2	0.15	9.39	543	82.8	191	18.9	66.6	11.8	2.4	1.1	7.98	5.84	0.976	2.56	0.372	2.27	0.323	4.04	2.38	1.73	0.88	0.66	25.4	7.64	889	4467	142580	920	19000	852	8514	565	63503	73	43	1245	11.07600021	136.6846771
175	10.18969	6.01894	182	0	0	10.18969	6.01894	Granites	Dark	"Grazing land, found on a slope"	4.03	12.45	45	2.62	69	47	8.64	26.4	22.1	49.1	2.14	0.76	92	27	12	179	39.4	2.28	0.09	0.032	14.8	0.18	6.03	125	66.4	183	14.5	47.1	8.79	1.38	0.764	5.63	3.77	0.551	1.33	0.187	1.21	0.18	5.37	3.13	1.69	0.63	0.7	28.9	9.22	492	1349	177997	589	10872	286	5704	136	46123	54	67	1266	8.645410538	74.47589111
176	10.18651	6.02212	183	0	0	10.18651	6.02212	Granites	Redish brown	"Grazing land, found on a slope"	4.16	10.6	43.6	3.47	91	53	16.6	32.6	25.8	37.6	1.26	0.65	141	59	25.6	109	32.2	1.68	0.05	0.022	10	0.09	7.95	363	66.6	140	16	57.5	11.3	2.66	1.2	8.65	6.52	1.09	2.76	0.393	2.56	0.355	3.37	2.54	1.33	0.93	0.68	15.5	8.88	1031	2199	145917	728	24540	436	10197	396	61302	68	51	1278	3.244110823	111.0375137
177	10.18632	6.02663	184	0	0	10.18632	6.02663	Granites	Dark	"Grazing land, found on a slope"	4.25	17.39	37.1	1.86	121	80	13.4	42.4	27.6	36	2.21	1.04	67	47	19.3	175	33.2	2.63	0.07	0.057	8.4	0.21	6.77	319	75.5	197	17.5	60	10.7	2.24	0.948	6.89	5.23	0.876	2.26	0.342	2.31	0.322	4.75	2.45	1.28	0.52	0.51	24.3	6.23	461	2157	143114	1018	10374	496	7946	427	64233	57	44	1239	4.890103817	357.2736816
178	9.99637	6.06009	185	0	1290	9.99637	6.06009	Granitic	Dark	"Slope, farmland (palms, fruit trees, cassava)"	4.32	11.79	38.2	2.22	70	34	9.82	19.9	15.2	34.4	0.99	0.48	208	214	21.1	160	26	2.35	0.04	0.033	5.8	0.16	8.85	1351	124	236	25.2	84.4	13	2.48	0.949	7.47	4.79	0.82	2.15	0.304	1.95	0.273	4.3	2.4	2.9	1.03	0.29	62.1	9.77	2641	3790	133646	653	45097	1208	5947	308	35580	64	55	1290	15.25395489	127.7249985
179	9.99757	6.05872	186	0	1266	9.99757	6.05872	Granitic	Dark	"farmland (cocoyams, palms, plantains cultivated), collected in a small valley"	4.43	17.38	25.8	1.43	105	57	12	33.4	34.8	34.9	2.27	0.73	109	111	15	168	36.5	2.83	0.05	0.08	5.5	0.2	7.68	599	73.2	192	15.5	53.2	8.82	1.74	0.73	5.39	3.88	0.638	1.65	0.249	1.62	0.222	4.6	2.93	2.99	0.62	0.52	48.7	11.7	1167	2444	138224	1237	18831	2027	7588	445	50633	58	53	1266	6.574567795	137.8624115
180	9.99529	6.05594	187	0	1333	9.99529	6.05594	Granitic	Dark	"Grazing land, hill slope"	4.1	11.5	37.4	2.11	53	22	8.6	12.4	12.1	34.2	1.09	0.47	202	131	17.6	150	25.2	1.88	0.03	0.029	4.5	0.11	10.5	864	77.1	161	16.9	59.5	10.3	2.01	0.843	6.2	4.54	0.741	1.97	0.298	1.97	0.266	4.47	2.38	1.94	1.07	0.31	54.9	13.8	2307	2517	135946	537	42497	692	4168	198	29419	48	60	1317	10.92625046	55.30484772
181	9.99122	6.05787	188	0	1408	9.99122	6.05787	Granitic	Dark-brown	"Grazing land with shrubs, slope"	4.04	12.23	36.5	2.12	66	31	10.1	19.3	20.3	34.4	0.95	0.52	197	193	19.4	174	27.3	2.29	0.05	0.039	5.9	0.17	8.77	1185	111	248	22.7	77.7	12.6	2.32	0.93	7.13	4.78	0.789	2.05	0.305	1.87	0.275	4.96	2.55	2.51	1.06	0.43	65.2	13.9	2327	2864	130005	598	40822	736	5738	180	33651	61	63	1409	16.23899841	97.22431946
182	9.99193	6.06235	189	0	1371	9.99193	6.06235	Granitic	Dark-brown	"Grazing land with shrubs, small valley closed to a river"	4.57	12.06	51.3	2.91	91	51	15.5	28.5	22.7	34.3	1.19	0.56	221	261	22.7	195	29.9	2.36	0.06	0.042	6.4	0.14	12.1	1428	112	268	23.9	83.5	13.5	2.62	1.01	7.96	5.26	0.859	2.21	0.318	2.21	0.304	5.54	2.63	1.26	1.07	0.24	56.2	11.9	2659	6506	128028	1108	41272	2149	7672	542	42910	109	55	1382	13.46282101	107.8188858
183	9.80218	6.09801	190	0	1372	9.80218	6.09801	Granitic	Dark-brown	"Abandoned farmland (banana), gentle slope"	4.53	14.44	54.2	1.97	139	50	23.8	31.1	28.1	36.1	1.52	0.64	114	74	27	90	25.2	2.33	0.04	0.055	4.9	0.17	7.85	647	74.7	168	17.4	63.1	11.5	2.54	1.12	8.05	6.39	1.12	3.03	0.449	2.84	0.388	2.7	1.62	1.26	0.67	0.28	26.5	4.52	746	6333	155098	1038	16946	1500	8321	822	67827	114	40	1364	8.981520653	145.4914703
184	9.8034	6.09668	191	0	1348	9.8034	6.09668	No observable outcrop	Dark	"Farmland (maize), swampy area, no exposed outcrop was observed"	4.39	12.08	54.3	4.37	124	50	18.7	24.8	25.5	34.2	1.02	0.59	143	121	37.7	169	30.9	2.62	0.07	0.091	5.8	0.15	9.97	891	79.5	183	18.5	67.1	12.3	2.6	1.29	9.12	7.76	1.44	4.05	0.598	4.14	0.579	5.1	2.32	1.91	0.89	0.43	39.5	7.21	4132	6925	138920	1224	26051	3532	7504	838	59043	106	40	1342	2.330698729	270
185	9.80095	6.0941	192	0	1332	9.80095	6.0941	granitic	Dark	"Plain, Farmland (cocoyams, cassava, potato), close to a stream"	4.14	21.59	31.7	2.17	92	52	11.5	26.5	19.9	29.5	1.71	0.94	113	73	19	122	27.8	2.1	0.07	0.087	4.9	0.19	8.85	561	42.3	135	10.2	37.6	7.53	1.45	0.801	5.41	4.75	0.848	2.37	0.362	2.51	0.333	3.58	2.17	1.69	0.65	0.38	26.8	5.33	1766	4310	116850	1303	20516	1215	5650	877	48351	78	39	1337	7.261106968	296.5650635
186	9.79719	6.09553	193	0	1421	9.79719	6.09553	Granitic	Reddish brown	"Steep slope, forest vegetation"	4.35	12.42	42.7	1.9	101	44	15.4	33.8	34.7	35.7	1.39	0.71	131	60	37.9	101	29.9	1.64	0.04	0.05	7.4	0.13	8.84	456	56.9	176	13.5	50.9	11	1.93	1.32	8.6	8.22	1.52	4.33	0.64	4.33	0.602	3.31	2.39	10.4	0.83	0.42	37.8	6.04	904	4931	147234	597	22232	1520	5960	756	55575	77	44	1397	21.62589836	250.8209991
187	9.79701	6.10103	194	0	1478	9.79701	6.10103	Granitic	Dark-brown	"Top of a hill, Grazing land"	4.2	15.38	31.9	2.84	92	50	8.08	24.8	20.5	37.1	2.03	1.06	126	87	15.8	139	34.7	2.57	0.05	0.044	6.7	0.23	10.4	495	62.3	157	13.3	46.8	8.78	1.56	0.856	5.9	4.82	0.749	2.03	0.284	1.97	0.261	4.17	3.14	1.56	0.74	0.49	38.3	6.87	908	4001	147015	754	21298	815	6160	450	51155	71	51	1468	8.2144804	130.4260864
188	10.15049	6.13364	195	0	980	10.15049	6.13364	Gneiss	dark	"Steep slope, forest vegetation,"	4.92	8.2	20.5	2.93	89	58	14.5	26.3	27.2	29.9	0.7	0.49	169	134	18.7	153	19.8	1.23	0.05	0.049	6.3	0.12	5.27	1110	57.6	172	11.1	39.1	6.83	1.26	0.692	4.93	4.12	0.697	1.87	0.274	1.75	0.25	4.31	1.2	1.03	0.92	0.2	29.4	4.47	1979	4963	117917	643	36465	3167	6442	808	45307	76	35	975	15.94984531	243.799881
189	10.15167	6.13228	196	0	1031	10.15167	6.13228	No observable outcrop	Dark-brown	"Grassfield with shrubs, gentle slope"	4.13	7.76	16.9	3.31	94	68	10.4	25.1	20.3	31.9	1.23	0.62	137	145	23	88	17.1	1.35	0.07	0.014	6.9	0.09	6.96	1225	89	230	17.8	62.7	10.1	1.86	0.921	6.74	5.17	0.898	2.41	0.325	2.09	0.263	2.55	1	0.99	0.85	0.21	28.4	3.11	1258	4049	132487	467	33733	822	5872	247	50353	61	37	1024	17.38957787	207.8972778
190	10.15014	6.12899	197	0	999	10.15014	6.12899	Granitic	Dark-brown	Forest vegetation	4.48	9.03	41.3	2.53	98	80	16.8	33.4	21	33.1	0.87	0.56	166	157	27.4	82	19.2	1.34	0.04	0.048	7.7	0.09	8.31	1345	89.1	227	18.5	66.6	11.8	2.06	1.07	7.8	6	1.05	2.87	0.396	2.56	0.358	2.53	1.26	1.07	0.99	0.23	25.4	3.79	1466	6092	130585	686	31426	1813	6485	573	50485	90	39	1003	24.39135361	348.0848389
191	10.14622	6.1309	198	0	905	10.14622	6.1309	Gneiss	Dark	"Slope, forest land"	4.1	6.21	14.9	3.46	88	31	11.5	15.5	33.8	32.3	0.4	0.46	164	97	32.6	78	16.2	0.92	0.05	0.016	6.7	0.09	5.47	940	78.2	174	17.8	66.5	12.3	2.18	1.26	8.69	7.07	1.26	3.4	0.486	3.1	0.412	2.36	1	0.57	0.92	0.18	27.4	4.7	1894	3774	131371	427	35458	931	5168	384	45600	81	37	898	13.10670948	216.4692383
192	10.1447	6.13516	199	0	898	10.1447	6.13516	No observable outcrop	Dark-brown	"Grassfield, steep slope"	4.11	7.73	13.7	1.95	92	52	9.68	22.1	19.8	29.5	1	0.69	133	194	12.1	100	20.6	1.49	0.08	0.025	6.2	0.14	4.73	1382	59.1	108	10.4	35	5.74	1.12	0.528	3.9	3.12	0.512	1.33	0.197	1.24	0.171	2.91	1.2	2.08	0.79	0.18	20.7	3.14	1612	2784	120243	570	38699	1162	7080	381	44408	55	40	906	9.930400848	178.6677856
193	10.034455	5.983722	0	39	0	10.034455	5.983722	 	 	 	4.28	20.11	14.5	1.86	200	97	26.9	56.2	30.3	36.2	1.77	1.01	16	98	71.8	730	171	3.22	0.13	0.143	7.4	0.27	1.46	169	129	412	31.3	122	23.5	4.57	2.69	19	16.1	2.9	8.12	1.12	7.24	1.049	17.9	10.1	1.99	0.2	0.12	19.8	4.33	724	2018	126642	2049	2424	964	20789	938	102953	112	23	1229	10.05273914	121.8659744
194	10.26732	6.13528	0	102	1324	10.26732	6.13528	 	 	 	4.22	17.09	17.2	3.56	131	73	19.4	50.5	21.2	39.1	4.34	1.29	37	27	83.4	954	153	7.43	0.21	0.201	7.2	0.38	2.31	147	163	486	38.3	150	29.1	3.44	3.19	21.4	17.9	3.43	9.49	1.26	7.81	1.16	22.2	8.84	3.53	0.46	0.15	30.1	5.78	594	2930	123846	1246	3295	466	12234	1403	77780	119	29	1331	22.26392555	197.3540192
